lcl date,lcl time,utcofst,atvwpt,latitude,longitude,altind,baroa,altmsl,OAT,ias,gndspd,vspd,pitch,roll,latac,normac,hdg,trk,volt1,volt2,amp1,amp2,fqtyl,fqtyr,e1 fflow,e1 oilt,e1 oilp,e1 rpm,e1 cht1,e1 cht2,e1 cht3,e1 cht4,e1 egt1,e1 egt2,e1 egt3,e1 egt4,altgps,tas,hsis,crs,nav1,nav2,com1,com2,hcdi,vcdi,wndspd,wnddr,wptdst,wptbrg,magvar,afcson,rollm,pitchm,rollc,pichc,vspdg,gpsfix,hal,val,hplwas,hplfd,vplwas
,,,,,,1705.5,29.94,,22.5,0.0,,-18.57,4.52,-0.85,0.03,0.0,229.1,,,,,,,,,,,,,,,,,,,,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.0,,,,,,,,3704.0,,,,
,,,,,,1705.5,29.94,,22.5,0.0,,-6.59,4.55,-0.88,0.02,0.02,229.1,,,,,,,,,,,,,,,,,,,,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:50,,,,,1705.5,29.94,,22.5,0.0,,-10.39,4.55,-0.81,0.02,-0.0,229.1,,,,,,,,,,,,,,,,,,,,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:51,,,,,1705.5,29.94,,22.5,0.0,,-3.72,4.59,-0.87,0.03,0.03,229.1,,,,,,,,,,,,,,,,,,,,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:52,,,,,1705.5,29.94,,22.5,0.0,,2.6,4.54,-0.82,0.0,-0.02,229.1,,28.2,28.2,7.7,0.4,24.0,,2.7,145.73,60.0,1109.8,169.49,170.95,170.64,171.45,967.01,971.92,973.52,978.78,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:53,,,,,1705.5,29.94,,22.5,0.0,,0.11,4.53,-0.82,0.02,-0.0,229.1,,28.2,28.2,7.4,0.4,24.0,24.0,2.71,145.73,59.92,1105.2,169.97,171.42,171.04,171.86,973.9,977.87,982.06,981.39,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:54,,,,,1706.5,29.94,,22.5,0.0,,3.63,4.48,-0.85,0.03,0.01,229.1,,28.2,28.2,7.1,0.4,24.0,24.0,2.69,145.72,59.95,1112.2,170.45,171.87,171.46,172.28,979.56,981.46,988.22,984.96,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:55,,,,,1706.5,29.94,,22.5,0.0,,4.86,4.5,-0.86,0.02,0.0,229.1,,28.2,28.2,6.9,0.4,24.0,24.0,2.7,145.71,59.93,1109.7,170.96,172.32,171.89,172.71,983.86,986.34,992.01,989.13,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:56,,,,,1706.5,29.94,,22.5,0.0,,0.21,4.46,-0.83,0.02,-0.03,229.1,,28.2,28.2,6.7,0.3,24.0,24.0,2.7,145.7,60.09,1109.8,171.45,172.87,172.33,173.15,987.14,991.51,997.6,995.79,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:57,,,,,1706.5,29.94,,22.5,0.0,,0.01,4.57,-0.85,0.02,0.03,229.1,,28.2,28.2,6.4,0.3,24.0,24.0,2.72,145.68,60.12,1117.8,171.96,173.37,172.79,173.6,990.89,996.26,999.61,998.88,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:58,,,,,1706.5,29.94,,22.5,0.0,,-4.0,4.52,-0.83,0.03,-0.04,229.1,,28.2,28.2,6.2,0.3,24.0,24.0,2.71,145.67,60.03,1121.4,172.48,173.83,173.23,174.05,995.74,1001.01,1003.79,1001.04,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:46:59,,,,,1705.5,29.94,,22.5,0.0,,-14.79,4.58,-0.86,0.02,0.0,229.1,,28.2,28.2,6.0,0.3,24.0,24.0,2.7,145.66,60.11,1118.9,173.01,174.39,173.67,174.52,1000.45,1004.57,1009.86,1005.29,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:47:00,,,,,1706.5,29.94,,22.5,0.0,,-7.08,4.55,-0.87,0.02,-0.01,229.1,,28.2,28.2,5.8,0.3,24.0,24.0,2.7,145.64,60.17,1122.2,173.54,174.91,174.14,174.99,1005.5,1008.57,1011.75,1010.96,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:47:01,,,,,1706.5,29.94,,22.5,0.0,,-1.38,4.56,-0.82,0.02,0.01,229.1,,28.2,28.2,5.6,0.3,24.0,24.0,2.72,145.63,60.26,1127.1,173.91,175.29,174.45,175.33,1009.95,1011.15,1011.66,1016.43,,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,,,3704.0,,,,
2021-01-15,0 days 10:47:02,,,23.7518768,78.8571701,1707.5,29.94,1573.2,22.5,0.0,6.53,18.97,4.57,-0.79,0.02,0.01,229.1,269.8,28.2,28.2,5.4,0.3,24.0,24.0,2.68,145.61,60.33,1127.8,174.38,175.77,174.87,175.75,1013.42,1014.55,1014.35,1020.17,1383.1,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,3.9,,3704.0,,,,
2021-01-15,0 days 10:47:03,,,23.7518578,78.857193,1705.5,29.94,1508.1,22.5,0.0,0.0,-19.94,4.55,-0.81,0.01,-0.01,229.1,270.4,28.2,28.2,5.3,0.3,24.0,24.0,2.7,145.6,60.25,1128.3,174.9,176.32,175.36,176.23,1016.12,1018.49,1017.1,1024.3,1318.0,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,23.6,,3704.0,,,,
2021-01-15,0 days 10:47:04,,,23.7518711,78.8571777,1705.5,29.94,1573.1,22.5,0.0,0.0,-34.77,4.56,-0.82,0.01,0.0,229.1,270.4,28.2,28.2,5.1,0.3,24.0,24.0,2.71,145.58,60.17,1123.1,175.43,176.82,175.87,176.74,1018.66,1022.14,1019.4,1026.17,1383.0,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,15.7,,3704.0,,,,
2021-01-15,0 days 10:47:05,,,23.751873,78.8571701,1705.5,29.94,1608.0,22.5,0.0,0.0,-20.72,4.55,-0.81,0.0,-0.01,229.1,270.4,28.2,28.2,4.9,0.3,24.0,24.0,2.68,145.56,60.14,1113.5,175.99,177.44,176.36,177.24,1020.65,1025.66,1026.61,1027.48,1417.9,0,,353.5,108.1,108.1,122.6,122.6,,,,,,,0.3,,,,,,7.9,,3704.0,,,,
